Year,Source,Target,Tonnes
2022,Garbage Cart,Waste Processing (IPTF),118172
2022,Food Scraps Cart,Waste Processing (IPTF),13567
2022,Garbage Bin,Waste Processing (IPTF),78833
2022,Food Scraps Cart,Organics Processing,47500
2022,Yard Waste,Organics Processing,15876
2022,Waste Processing (IPTF),Organics Processing,27550
2022,Recycle Bin,Recyclables Processing (MRF),9164
2022,Blue Bag,Recyclables Processing (MRF),31655
2022,Organics Processing,Compost Sales,6967
2022,Organics Processing,Compost Give Away,1823
2022,Organics Processing,Regional - Organics Processing Facilities,30724
2022,Organics Processing,Compost Inventory + Process Loss,41596
2022,Organics Processing,Landfill,8852
2022,Recyclables Processing (MRF),Recyclers,34354
2022,Recyclables Processing (MRF),Landfill,8947
2022,Waste Processing (IPTF),Landfill,191331
